PK;Tool;Name;Short;Full;Type;Developer;Institute;Location;Earliest Mention;System;Related To;Notes;
11;MAPTEXT;MAPTEXT;MAPTEXT;;concordance;Sally Sedelow;;;1968;;;"Co-authored the essay ""Stylistic Analysis"" with Walter Sedelow on indexing and concordance construction, including details of this program.";
12;STRIP;STRIP;STRIP;;string processing;;;Scandinavia;1967;;;A string processing language for linguistics.;
13;"STRIL; STRIL (STRucture in Language)";STRIL;STRIL;STRucture in Language;programming system;"G. M. Gillow; K. Heggstad; K. Heggstad";University of Bergen;;1966;;;A conversational programming system developed for linguists for application to Norwegian.;
14;BIBCON;BIBCON;BIBCON;bibcon;"indexing; concordance";Richard Venezky;University of Wisconsin;USA;1969;;"9; 15";This program was written in FORTRAN and based on KWIC. A concordance program in reverse (words out of context). ;
15;KWIC;KWIC;KWIC;kwic;"indexing; concordance";;CDC;;1969;;14;NOTE: KWIC may refer to a tool OR producing a 'key words in context' report. These will have to be disambiguated manually. KWIC is most commonly discussed as a report generated by another program rather than a stand-alone tool.;
16;COMIT;COMIT;COMIT;;programming language;;;;;;;Programming language taught to humanists specifically to assist humanistic research;
17;COBOL;COBOL;COBOL;cobol;programming language;;;;1969;;;Programming language.;
18;"ALGOL; ALGOL 68-R; ALGOL 68";ALGOL;ALGOL;algol;programming language;;;;1967;magnetic tape;;Programming language.;
19;CETA;CETA;CETA;;linguistic parsing;;Centre pour l'Etude de la Traduction Automatique;France;1969;;;The CETA program is named for its origin, with the Centre pour l'Etude de la Traduction Automatique.;
20;"MITRE; MITRE Syntactic Analysis Procedure";MITRE;MITRE;MITRE Syntactic Analysis Procedure;linguistic parsing;;;;1965;;;;
21;Harvard Predictive Analyser;Harvard_Predictive_Analyser;;Harvard Predictive Analyser;linguistic parsing;;Harvard;USA;1965;;;;
22;Berkeley Parser;Berkeley_Parser;;Berkeley Parser;linguistic parsing;;Berkeley;USA;1965;;;;
23;STAP;STAP;STAP;;"network analysis; linguistic parsing";;;USA;1969;;;;
24;SNAP;SNAP;SNAP;;"programming language; text processing";Michael P. Barnett;Columbia University;USA;1970;;9;Text processing language developed specifically for humanities research;
25;CLAS;CLAS;CLAS;;"natural language processing; concordance; word count";"George A. Borden; James J. Watts";Pennsylvania State University;USA;1971;;;Computerized Language Analysis System;
26;APL/360;APL360;APL/360;;programming language;;;;;;;;
27;BASIC;BASIC;BASIC;;programming language;;;;;;;;
28;EYEBALL;EYEBALL;EYEBALL;;"natural language processing; word count; text analysis";"Donald Ross Jr.; Robert H. Rasche";University of Pennsylvania;USA;1969;"IBM 360; CDC 6600";"5;9";First developed in PL/I and then converted to FORTRAN;
29;SCAN;SCAN;SCAN;;"programming language; text analysis; tokenization";P. J. Brown;University of Kent at Caterbury;UK;1972;ICL 420;27;Brown states that he made SCAN's statements similar to BASIC;
30;"RATS; RATS (Random-Accessible Text Systems)";RATS;RATS;Random-Accessible Text Systems;"programming language; text analysis";John B. Smith;Pennsylvania State University;USA;1972;;5;An 'intermediate-level utility written in PL/I';
31;"TEXTAN; TEXTAN 1; TEXTAN  2";TEXTAN;TEXTAN;textan;"text analysis; natural language processing";Suzanne Hanon;University of Aarhus;Denmark;1973;;18;Written in ALGOL 4 to identify Anglicisms in French-language texts;
32;OPCOL;OPCOL;OPCOL;;"collation; comparator";Robert L. Cannon, Jr.;University of South Carolina;USA;1976;;;An algorithm for collating texts and comparing words within them.;
33;EULER;EULER;EULER;;"programming language; string processing";;;;1976;;18;Programming language proposed as a successor to ALGOL;
34;"SATO; SATO (Systeme d'analyse des textes par ordinateur)";SATO;SATO;Systeme d'analyse des textes par ordinateur;"text analysis; content analysis";"Jean-Guy Meunier; Stanislas Rolland; Francois Daoust";Universite du Quebec a Montreal;Canada;1976;;;"""A textual data processing system for literary and social sciences""";
35;FISHER;FISHER;FISHER;;string processing;A. C. Day;University College London;UK;1976;;9;A string-handling package for FORTRAN;
36;"INQUIRER III; INQUIRER III (Edinburgh Version)";INQUIRER;INQUIRER;INQUIRER III (Edinburgh Version);"content analysis; natural language processing";"A. P. M. Coxon; H. R. N. Trappes-Lomas";"University College Cardiff; Edinburgh University";"Wales; Scotland";1976;Punched card computer;"5;8";A variant on the General Inquirer written in PL/I;
37;LEXICO;LEXICO;LEXICO;;"concordance; lemmatization";"Richard L. Venezky; Nathan Relles; Lynne Price";"University of Delaware; University of Wisconsin-Madison";USA;1977;;;System for lexicographic analysis, including functions missing from programs like EYEBALL, SCAN and RATS.;
