"","October.2014","November.2014","December.2014","January.2015","February.2015","March.2015","totals"
"tell",0.00311060401643477,0.00289841106179099,0.00285262033103412,0.00269381441354201,0.00313401985215927,0.00263425136964509,0.00288785799054212
"getting",0.00323783125857678,0.00295960138201442,0.0026391898880155,0.00281454559173998,0.0032180569965771,0.00238058917620806,0.00288674887001049
"show",0.0038773692672051,0.00299921250718321,0.00297752962309583,0.00199457967314549,0.00310129384880425,0.00233918383535493,0.00288610674759744
"man",0.00262414691412705,0.0032906794431267,0.00279733834743257,0.00265419949569581,0.00260030318015948,0.00325620317382834,0.00287145468162695
"doing",0.00320891597627178,0.00294807277095783,0.00289775562144297,0.00274537668756406,0.0029716019095825,0.00219666229368155,0.00284956414481845
"person",0.00264761931976288,0.00289722864014416,0.00262099581746309,0.00277807471499267,0.00302170097644697,0.0031821094059859,0.00284232567398044
"group",0.0027156552781276,0.002750903961349,0.00301181844836768,0.00297331966723469,0.00265121029648951,0.00288399095184341,0.00283310246113846
"reminder",0.00226763849229595,0.00278903705945926,0.00401529141652735,0.00307047053719086,0.00242899669346159,0.00201404294823461,0.00280058771713223
"lol",0.00194650876881449,0.00210116326641615,0.00285052101520115,0.0033578358936308,0.00357844705821512,0.00310845148383666,0.00278132404474075
"things",0.00254352430346487,0.00280145248675097,0.00299327449184311,0.00264319535184964,0.00245404622689383,0.00327363700155597,0.00277285970384147
"corruption",0.0031731970981303,0.00356973095177848,0.00214060237768511,0.00244103350919003,0.00297079386011694,0.00179176164470731,0.00272902025545965
"sure",0.00270715078333201,0.00262349802890311,0.00250168470095596,0.00316101892083933,0.00283988984669686,0.00245468294405049,0.00272598476768887
"today",0.00280410202400173,0.0028466801147422,0.0024383553399947,0.00236997818035477,0.00256232485527834,0.00344536020467314,0.00272184015938646
"journalists",0.00383076463572527,0.00249195362069332,0.00182465534482312,0.00232501839264043,0.00411579995280991,0.00170372081468277,0.00270841396347724
"thanks",0.00259114947432017,0.00292205949472758,0.00285297021700628,0.00251114562569562,0.00260232330382337,0.00265822288277058,0.00269592176380519
"tweets",0.00416346047212873,0.00214639089440738,0.00181765762537989,0.00206500619376097,0.00323179383749156,0.00293498489794673,0.00268500568278336
"great",0.00265068093788929,0.00269710377641826,0.00305660385280437,0.00258691701617924,0.00268434032457731,0.0023784099477421,0.00268413006131102
"work",0.00196725973611573,0.00293565734366612,0.00347576724745405,0.00293118951650936,0.00246414684521328,0.00209903285840681,0.00267858445865286
